lost_parking,transit_dist,bike_chng,type,parking_cost_change,pct_sales_chng
5,0.177856548,-0.028218246,Gas station,0.006,0
5,0.164942415,0.04350208,Gas station,-0.008,0
5,0.162986685,0.074477872,Furniture,0.004,-0.019140563
3,0.128952926,0.106943099,Grocery,0.003,-0.015713848
5,0.111328856,0.10035926,Clothing,0.003,0.028992248
5,0.101475607,-0.003850872,Furniture,-0.006,-0.019428714
3,0.105471763,0.026094526,Clothing,-0.005,0.048129355
5,0.089608811,0.03290704,Grocery,0.006,-8.60E-04
5,0.097419905,-0.054555124,Clothing,-0.008,0.059016939
3,0.055779065,-0.017249643,Furniture,0.016,-0.009729396
5,0.079752046,-0.007924296,Gas station,0.011,0
3,0.039284886,0.017733924,Gas station,0.014,0
4,0.074042676,0.074107811,Furniture,0.012,-0.014448128
3,-0.005510923,-0.013822454,Grocery,0.024,-0.019446017
5,0.030825152,0.038975253,Clothing,0.009,0.067814026
3,0.016098878,0.100119571,Furniture,0.016,-0.010237144
4,0.028279117,-0.017101579,Clothing,0.004,0.022988251
4,0.018999909,0.076572348,Grocery,0.016,-0.020965367
3,0.050151835,0.036734286,Clothing,0.022,0.077201023
4,0.068448262,0.028609395,Furniture,0.012,-0.015434791
5,0.067511759,0.102179485,Grocery,0.033,-0.01489129
4,0.103697443,0.021985072,Books,0.048,0.058900732
5,0.107134508,0.024502247,Grocery,0.034,-0.023110375
4,0.07693306,0.067089411,Clothing,0.032,0.071685483
5,0.131778993,0.098141429,Grocery,0.043,-0.01197667
3,0.114144855,0.011514738,Drugstore,0.038,0.045327847
3,0.126666416,0.041177018,Grocery,0.022,-0.01598988
3,0.17602788,0.058695269,Clothing,0.032,0.036143493
5,0.157903782,0.023881539,Drugstore,0.054,0.029880017
3,0.167397652,-0.002718642,Books,0.04,-0.011432597
3,0.181215272,-0.010073735,Grocery,0.041,-0.015575809
5,0.143630364,0.098917369,Books,0.053,0.04223869
5,0.105457141,0.040085138,Grocery,0.068,-0.02005202
4,0.151188479,-0.013272143,Clothing,0.044,0.009766623
3,0.138702902,0.033193798,Grocery,0.056,-0.019655201
3,0.182396771,0.096825437,Drugstore,0.054,-0.018521945
5,0.110117635,0.153209413,Grocery,0.067,-0.011286873
5,0.104723637,0.081704263,Clothing,0.061,0.015325662
5,0.079362122,0.099881346,Drugstore,0.073,0.081709254
3,0.057069054,0.081217231,Books,0.047,0.065076949
3,0.023363461,0.012398456,Grocery,0.063,-0.021673919
3,0.035426045,0.013322286,Books,0.073,0.035489184
5,0.023452145,0.031730481,Grocery,0.087,-0.016471795
3,-0.003486293,0.107750837,Clothing,0.078,0.088094213
4,0.033233425,-0.029374762,Grocery,0.072,-0.018141901
3,0.00984183,0.018990045,Drugstore,0.066,0.063605868
4,0.037405671,0.128927935,Grocery,0.072,-0.018236415
4,-0.027602717,0.086506177,Clothing,0.075,0.089784065
4,0.081591307,0.063748097,Drugstore,0.086,0.069639025
5,0.061105735,-0.023747593,Books,0.073,0.035579543
5,0.084137395,0.029874368,Grocery,0.089,-0.015016364
4,0.050811136,0.052202756,Books,0.098,0.089863587
4,0.110958829,0.006214604,Grocery,0.099,-0.020637995
4,0.116932458,0.03968282,Clothing,0.091,0.050337475
5,0.096016124,-0.040463169,Grocery,0.09,-0.0209796
4,0.115953454,-0.002781016,Drugstore,0.1,0.032052601
5,0.137727758,0.121385804,Grocery,0.113,-0.025398156
3,0.179005212,0.16395777,Clothing,0.097,0.057276901
4,0.173908275,0.096509843,Drugstore,0.109,0.070273616
4,0.212309282,0.122602026,Books,0.121,-0.03599772
4,0.132461579,0.060475198,Drugstore,0.113,0.034097163
3,0.208434357,0.056577141,Restaurant,0.123,0.069232578
3,0.142391999,0.175630886,Restaurant,0.114,0.029012845
3,0.158886661,0.064578006,Drugstore,0.114,0.009119149
5,0.152365681,0.085141032,Clothing,0.112,0.053009936
3,0.139254132,0.072071542,Books,0.124,0.034556216
3,0.081245781,0.022120125,Clothing,0.114,0.026835468
3,0.085543323,-7.82E-04,Drugstore,0.133,0.040756669
3,0.06367948,0.01355362,Clothing,0.113,0.056390428
5,0.069794419,0.008499146,Clothing,0.121,0.059161651
4,0.095062434,0.033049602,Drugstore,0.135,0.04894768
5,0.075347895,0.086641123,Restaurant,0.122,0.092515456
3,0.014391994,0.109309152,Restaurant,0.118,0.029715254
3,0.007698335,0.201489163,Drugstore,0.15,0.086281113
5,0.024391656,0.097815938,Clothing,0.132,0.081111566
5,0.004335883,0.016347814,Books,0.143,0.112486337
3,-0.006498125,0.102216684,Clothing,0.157,0.069133509
3,-1.57E-04,0.007707709,Drugstore,0.138,0.055494108
4,0.069138808,0.041861486,Clothing,0.144,0.092557562
3,0.066296874,0.055822157,Clothing,0.151,0.061104195
